app,installed_app,installed_app_24,installed_app_72,similar_app,hot_app,social_app,contact,contact_default,family,grandparent,land_line_ratio,land_line_count,mobile_phone_count,no_mobile_phone_ratio,offspring,parent,risk_keyword_ratio,risk_keyword_count,siblings,spouse,target
313.0,77.0,7.0,14.0,12.0,7.0,True,178.0,0.0,1.0,0.0,0.4943820225,88.0,87.0,0.4887640449,0.0,1.0,0.0112359551,2.0,0.0,0.0,1
388.0,73.0,0.0,3.0,12.0,8.0,True,998.0,0.0,3.0,1.0,0.2875751503,287.0,705.0,0.7064128257,0.0,2.0,0.004008016,4.0,1.0,0.0,0
355.0,106.0,5.0,6.0,32.0,8.0,True,414.0,0.0,2.0,1.0,0.422705314,175.0,229.0,0.5531400966,0.0,1.0,0.0,0.0,1.0,0.0,1
354.0,45.0,4.0,6.0,7.0,6.0,False,318.0,0.0,3.0,0.0,0.5754716981,183.0,111.0,0.3490566038,0.0,3.0,0.0,0.0,0.0,0.0,0
346.0,73.0,2.0,8.0,16.0,7.0,True,1212.0,0.0,6.0,2.0,0.4653465347,564.0,579.0,0.4777227723,0.0,3.0,0.0107260726,13.0,1.0,0.0,0
252.0,36.0,5.0,8.0,7.0,5.0,True,1263.0,0.0,5.0,0.0,0.4085510689,516.0,706.0,0.55898654,0.0,5.0,0.0102929533,13.0,0.0,0.0,1
284.0,64.0,3.0,11.0,14.0,6.0,True,553.0,0.0,7.0,2.0,0.3616636528,200.0,335.0,0.6057866184,0.0,2.0,0.0180831826,10.0,3.0,1.0,0
278.0,55.0,4.0,6.0,9.0,7.0,True,1443.0,0.0,7.0,0.0,0.3541233541,511.0,923.0,0.6396396396,0.0,3.0,0.009009009,13.0,3.0,1.0,0
338.0,107.0,7.0,14.0,10.0,5.0,True,527.0,0.0,5.0,0.0,0.4288425047,226.0,281.0,0.5332068311,0.0,3.0,0.0018975332,1.0,1.0,1.0,0
312.0,66.0,4.0,4.0,9.0,6.0,True,581.0,1.0,2.0,0.0,0.3993115318,232.0,332.0,0.5714285714,0.0,0.0,0.0206540448,12.0,2.0,0.0,0
290.0,53.0,2.0,5.0,12.0,8.0,True,144.0,0.0,3.0,0.0,0.5625,81.0,61.0,0.4236111111,0.0,0.0,0.0277777778,4.0,3.0,0.0,1
301.0,41.0,3.0,4.0,4.0,6.0,True,263.0,0.0,0.0,0.0,0.4600760456,121.0,126.0,0.4790874525,0.0,0.0,0.0152091255,4.0,0.0,0.0,1
283.0,54.0,2.0,5.0,8.0,3.0,True,105.0,0.0,1.0,0.0,0.4571428571,48.0,44.0,0.419047619,0.0,1.0,0.0476190476,5.0,0.0,0.0,0
323.0,104.0,3.0,5.0,7.0,8.0,True,825.0,0.0,1.0,0.0,0.4157575758,343.0,470.0,0.5696969697,0.0,1.0,0.0060606061,5.0,0.0,0.0,1
235.0,19.0,3.0,6.0,6.0,2.0,True,156.0,0.0,0.0,0.0,0.4871794872,76.0,62.0,0.3974358974,0.0,0.0,0.0,0.0,0.0,0.0,0
394.0,78.0,3.0,3.0,9.0,8.0,True,175.0,0.0,2.0,0.0,0.5314285714,93.0,69.0,0.3942857143,0.0,1.0,0.0285714286,5.0,1.0,0.0,0
